epoch,Training Loss,Valid. Loss,Valid. Accur.,Training Time,Validation Time
1,0.5214646905021094,0.5512029677629471,0.7223557692307693,0:11:01,0:00:25
2,0.4487106411242178,0.5411432545918685,0.7288804945054945,0:11:11,0:00:25
3,0.3939036772998106,0.5917883801918763,0.7458791208791209,0:11:11,0:00:25
4,0.2971149066806863,0.8142518194822165,0.7146291208791209,0:11:10,0:00:25
